State,Crop,Soil_Type,Temperature,Humidity,Rainfall,Soil_Moisture,Water_Required
MadhyaPradesh,Pulses,Silty,34.25,34.0,6.49,32.17,16.49
Gujarat,Groundnut,Clay,24.68,51.53,28.99,24.16,17.47
Bihar,Wheat,Silty,30.59,77.9,50.2,25.76,21.04
TamilNadu,Maize,Peaty,22.15,82.31,30.27,45.15,12.64
Bihar,Rice,Silty,23.1,38.86,64.3,19.45,21.47
Rajasthan,Maize,Peaty,24.37,44.92,7.06,59.41,8.13
Maharashtra,Sugarcane,Peaty,35.16,80.35,86.07,45.8,21.99
Rajasthan,Rice,Silty,30.6,60.42,41.75,24.46,20.46
MadhyaPradesh,Sugarcane,Sandy,25.19,52.92,9.94,40.82,12.39
TamilNadu,Rice,Loamy,30.43,48.25,43.33,57.44,13.97
Telangana,Pulses,Silty,21.11,49.5,77.75,14.01,23.31
MadhyaPradesh,Wheat,Loamy,24.97,50.85,69.43,28.24,20.79
Haryana,Rice,Clay,20.19,43.06,63.18,22.13,19.95
Telangana,Maize,Loamy,31.16,69.71,38.42,34.65,18.26
Haryana,Groundnut,Peaty,27.54,40.0,68.33,44.69,18.16
AndhraPradesh,Wheat,Loamy,34.37,31.66,91.57,20.99,27.27
Haryana,Wheat,Clay,26.81,81.58,16.66,59.45,9.82
Maharashtra,Cotton,Loamy,34.62,47.53,97.76,39.48,24.27
Punjab,Cotton,Silty,27.01,63.82,68.15,53.46,16.23
MadhyaPradesh,Maize,Peaty,24.88,70.08,65.79,26.17,20.81
Haryana,Wheat,Loamy,31.1,76.15,28.59,26.73,18.84
Telangana,Pulses,Sandy,25.2,53.31,69.83,26.09,21.32
Punjab,Sugarcane,Clay,27.18,78.35,16.44,21.73,17.45
UttarPradesh,Pulses,Sandy,30.98,61.12,35.7,51.93,14.48
Haryana,Groundnut,Silty,26.14,53.32,71.14,20.2,22.92
AndhraPradesh,Groundnut,Loamy,29.96,57.45,88.26,58.16,18.18
